Country,Topic,Traffic,Link,Image
United States,men’s march madness,200000,https://trends.google.com/trending/rss?geo=US,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTtqUwg5Pot5vLXhwv2GlI53L6X-3naAx2tjugZRKK3vrYaNs4YpAUJZyZBa1s
United States,vladimir guerrero,5000,https://trends.google.com/trending/rss?geo=US,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSFl9IY8-GprgRdyd4E2H--Wka_J0tltKgd9JLNZKTu60eIUjFx4-XUy2rS-Jk
